Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,296600000.0,,10.09,-0.0002,10.0
AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,257640000.0,,11.88,0.0669,21253.0
ABAT,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,USA,138740000.0,,1.51,0.0942,1102571.0
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,61740000.0,,1.25,0.008100000000000001,2894.0
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,63600000.0,,1.05,0.05,168595.0
ABVE,Above Food Ingredients Inc,Consumer Defensive,Packaged Foods,Canada,57130000.0,,1.12,0.0529,39229.0
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,295840000.0,34.2,5.39,0.0347,310871.0
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,64080000.0,,0.77,0.0344,221455.0
ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,Canada,140820000.0,,4.06,0.040999999999999995,264696.0
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,164740000.0,,1.66,0.012199999999999999,59156.0
ACNT,Ascent Industries Co,Basic Materials,Steel,USA,136470000.0,,12.98,-0.0019,31538.0
ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,Canada,159790000.0,,9.98,0.0241,54152.0
ACR,ACRES Commercial Realty Corp,Real Estate,REIT - Mortgage,USA,139450000.0,65.17,18.86,0.0069,4976.0
ACRE,Ares Commercial Real Estate Corp,Real Estate,REIT - Mortgage,USA,255500000.0,,4.64,0.018600000000000002,157937.0
ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,USA,157000000.0,,1.45,0.0069,202036.0
ACTU,Actuate Therapeutics Inc,Healthcare,Biotechnology,USA,199140000.0,,10.15,-0.0415,38139.0
ADAG,Adagene Inc ADR,Healthcare,Biotechnology,China,93510000.0,,1.99,-0.048,20258.0
ADAP,Adaptimmune Therapeutics Plc ADR,Healthcare,Biotechnology,United Kingdom,73460000.0,,0.28,0.0,144836.0
ADUR,Aduro Clean Technologies Inc,Industrials,Pollution & Treatment Controls,Canada,265070000.0,,9.05,-0.0444,190803.0
ADVM,Adverum Biotechnologies Inc,Healthcare,Biotechnology,USA,54100000.0,,2.59,0.0658,151012.0
AEF,abrdn Emerging Markets ex-China Fund Inc,Financial,Closed-End Fund - Equity,USA,221540000.0,13.99,5.46,-0.0025,77395.0
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,295630000.0,12.79,9.93,0.027999999999999997,133321.0
AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment,USA,154910000.0,13.1,3.04,0.0483,19592.0
AEYE,AudioEye Inc,Technology,Software - Application,USA,156730000.0,,12.58,0.0545,23310.0
AFB,AllianceBernstein National Municipal Income Fund Inc,Financial,Closed-End Fund - Debt,USA,294060000.0,4.8,10.23,-0.0058,24441.0
AFBI,Affinity Bancshares Inc,Financial,Banks - Regional,USA,115020000.0,20.19,18.21,-0.0022,454.0
AFCG,Advanced Flower Capital Inc,Real Estate,REIT - Mortgage,USA,117610000.0,5.28,5.2,0.0126,40129.0
AFJK,Aimei Health Technology Co Ltd,Financial,Shell Companies,USA,67750000.0,49.33,11.07,-0.0049,5.0
AFRI,Forafric Global PLC,Consumer Defensive,Farm Products,United Kingdom,206870000.0,,7.69,-0.0116,509.0
