Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,711390000.0,31.82,11.5,-0.0034999999999999996,529298.0
AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,545990000.0,49.36,10.38,-0.001,11122.0
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,959980000.0,,17.1,0.10220000000000001,1825298.0
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,670100000.0,,2.24,0.049100000000000005,1735524.0
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,325610000.0,,6.36,0.013500000000000002,181802.0
ABL,Abacus Global Management Inc,Financial,Insurance - Life,USA,727350000.0,,7.61,-0.0004,96107.0
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,1880000000.0,9.88,9.78,0.0349,1245023.0
ABSI,Absci Corp,Healthcare,Biotechnology,USA,354620000.0,,2.78,0.0183,513290.0
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,655980000.0,,3.42,0.019299999999999998,149569.0
ABVX,Abivax ADR,Healthcare,Biotechnology,France,487220000.0,,7.68,0.2094,323774.0
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,321110000.0,,3.56,0.0271,249672.0
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1310000000.0,,8.15,-0.0067,267010.0
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,952220000.0,22.71,11.25,0.0009,64052.0
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,566520000.0,7.73,11.72,0.0387,196601.0
ACP,abrdn Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,732650000.0,4.71,5.84,-0.0018,193569.0
ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies,USA,367380000.0,,3.82,0.0296,71249.0
ADCT,Adc Therapeutics SA,Healthcare,Biotechnology,Switzerland,360010000.0,,3.63,0.0342,818697.0
ADEA,Adeia Inc,Technology,Software - Application,USA,1420000000.0,19.59,13.06,0.031200000000000002,76153.0
ADNT,Adient plc,Consumer Cyclical,Auto Parts,USA,1310000000.0,,15.58,0.027200000000000002,168945.0
ADPT,Adaptive Biotechnologies Corp,Healthcare,Biotechnology,USA,1490000000.0,,9.81,0.027200000000000002,381572.0
ADSE,Ads-Tec Energy Plc,Industrials,Electrical Equipment & Parts,Ireland,543470000.0,,9.91,-0.0747,27115.0
